title,director,actress,pub_time,type
肖申克的救赎,弗兰克·德拉邦特,蒂姆·罗宾斯,1994 , 犯罪 剧情
霸王别姬,陈凯歌,张国荣,1993 , 剧情 爱情 同性
阿甘正传,罗伯特·泽米吉斯,汤姆·汉克斯,1994 , 剧情 爱情
泰坦尼克号,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥,1997 , 剧情 爱情 灾难
这个杀手不太冷,吕克·贝松,让·雷诺,1994 , 剧情 动作 犯罪
千与千寻,宫崎骏,柊瑠美,2001 , 剧情 动画 奇幻
美丽人生,罗伯托·贝尼尼,罗伯托·贝尼尼,1997 , 剧情 喜剧 爱情 战争
辛德勒的名单,史蒂文·斯皮尔伯格,连姆·尼森,1993 , 剧情 历史 战争
星际穿越,克里斯托弗·诺兰,马修·麦康纳,2014 , 剧情 科幻 冒险
盗梦空间,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥,2010 , 剧情 科幻 悬疑 冒险
楚门的世界,彼得·威尔,金·凯瑞,1998 , 剧情 科幻
忠犬八公的故事,莱塞·霍尔斯道姆,理查·基尔,2009 , 剧情
海上钢琴师,朱塞佩·托纳多雷,蒂姆·罗斯,1998 , 剧情 音乐
三傻大闹宝莱坞,拉库马·希拉尼,阿米尔·汗,2009 , 剧情 喜剧 爱情 歌舞
放牛班的春天,克里斯托夫·巴拉蒂,让-巴蒂斯特·莫尼...,2004 , 剧情 音乐
机器人总动员,安德鲁·斯坦顿,本·贝尔特,2008 , 科幻 动画 冒险
无间道,刘伟强,刘德华,2002 , 剧情 犯罪 惊悚
疯狂动物城,拜伦·霍华德,瑞奇·摩尔,2016 , 喜剧 动画 冒险
控方证人,比利·怀尔德,泰隆·鲍华,1957 , 剧情 犯罪 悬疑
大话西游之大圣娶亲,刘镇伟,周星驰,1995 , 喜剧 爱情 奇幻 古装
熔炉,黄东赫,孔侑,2011 , 剧情
教父,弗朗西斯·福特·科波拉,主演:,1972 , 剧情 犯罪
触不可及,奥利维·那卡什,艾力克·托兰达,2011 , 剧情 喜剧
当幸福来敲门,加布里尔·穆奇诺,威尔·史密斯,2006 , 剧情 传记 家庭
怦然心动,罗伯·莱纳,玛德琳·卡罗尔,2010 , 剧情 喜剧 爱情
龙猫,宫崎骏,日高法子,1988 , 动画 奇幻 冒险
末代皇帝,贝纳尔多·贝托鲁奇,尊龙,1987 , 剧情 传记 历史
寻梦环游记,李·昂克里奇,阿德里安·莫利纳,2017 , 喜剧 动画 奇幻 音乐
活着,张艺谋,葛优,1994 , 剧情 历史 家庭
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,克里斯蒂安·贝尔,2008 , 剧情 动作 科幻 犯罪 惊悚
哈利·波特与魔法石,Chris,Radcliffe,2001 , 奇幻 冒险
指环王3：王者无敌,彼得·杰克逊,伊利亚·伍德,2003 , 剧情 动作 奇幻 冒险
乱世佳人,维克多·弗莱明,乔治·库克,1939 , 剧情 历史 爱情 战争
我不是药神,文牧野,徐峥,2018 , 剧情 喜剧
素媛,李濬益,薛景求,2013 , 剧情
飞屋环游记,彼特·道格特,鲍勃·彼德森,2009 , 剧情 喜剧 动画 冒险
哈尔的移动城堡,宫崎骏,倍赏千惠子,2004 , 动画 奇幻 冒险
十二怒汉,Sidney,Henry,1957 , 剧情
何以为家,娜丁·拉巴基,扎因·拉费阿,2018 , 剧情
摔跤吧！爸爸,涅提·蒂瓦里,阿米尔·汗,2016 , 剧情 传记 运动 家庭
让子弹飞,姜文,姜文,2010 , 剧情 喜剧 动作 西部
鬼子来了,姜文,姜文,2000 , 剧情 喜剧
猫鼠游戏,史蒂文·斯皮尔伯格,莱昂纳多·迪卡普里奥,2002 , 传记 犯罪 剧情
少年派的奇幻漂流,李安,苏拉·沙玛,2012 , 剧情 奇幻 冒险
天空之城,宫崎骏,田中真弓,1986 , 动画 奇幻 冒险
海蒂和爷爷,阿兰·葛斯彭纳,阿努克·斯特芬,2015 , 剧情 冒险 家庭
钢琴家,罗曼·波兰斯基,艾德里安·布洛迪,2002 , 剧情 传记 战争 音乐
大话西游之月光宝盒,刘镇伟,周星驰,1995 , 喜剧 爱情 奇幻 古装
指环王2：双塔奇兵,彼得·杰克逊,伊利亚·伍德,2002 , 剧情 动作 奇幻 冒险
闻香识女人,马丁·布莱斯,阿尔·帕西诺,1992 , 剧情
罗马假日,威廉·惠勒,奥黛丽·赫本,1953 , 喜剧 剧情 爱情
天堂电影院,朱塞佩·托纳多雷,菲利普·努瓦雷,1988 , 剧情 爱情
死亡诗社,彼得·威尔,罗宾·威廉姆斯,1989 , 剧情
绿皮书,彼得·法雷里,维果·莫腾森,2018 , 剧情 喜剧 传记 音乐
大闹天宫,万籁鸣,邱岳峰,1961(中国大陆) , 1978(中国大陆) 
指环王1：护戒使者,彼得·杰克逊,伊利亚·伍德,2001 , 剧情 动作 奇幻 冒险
黑客帝国,安迪·沃卓斯基,拉娜·沃卓斯基,1999 , 动作 科幻
教父2,弗朗西斯·福特·科波拉,主演:,1974 , 剧情 犯罪
狮子王,Roger,Rob,1994 , 动画 冒险 歌舞
辩护人,杨宇硕,宋康昊,2013 , 剧情
饮食男女,李安,郎雄,1994 , 剧情 家庭
搏击俱乐部,大卫·芬奇,爱德华·诺顿,1999 , 剧情 动作 悬疑 惊悚
美丽心灵,朗·霍华德,罗素·克劳,2001 , 传记 剧情
本杰明·巴顿奇事,大卫·芬奇,凯特·布兰切特,2008 , 剧情 爱情 奇幻
穿条纹睡衣的男孩,马克·赫尔曼,阿萨·巴特菲尔德,2008 , 剧情 战争
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,Donnersmarck,2006 , 剧情 悬疑
情书,岩井俊二,中山美穗,1995 , 剧情 爱情
两杆大烟枪,Guy,Flemyng,1998 , 剧情 喜剧 犯罪
西西里的美丽传说,朱塞佩·托纳多雷,莫妮卡·贝鲁奇,2000 , 剧情 战争 情色
音乐之声,罗伯特·怀斯,朱莉·安德鲁斯,1965 , 剧情 传记 爱情 歌舞
看不见的客人,奥里奥尔·保罗,马里奥·卡萨斯,2016 , 剧情 犯罪 悬疑 惊悚
阿凡达,詹姆斯·卡梅隆,萨姆·沃辛顿,2009 , 动作 科幻 冒险
拯救大兵瑞恩,史蒂文·斯皮尔伯格,汤姆·汉克斯,1998 , 剧情 战争
小鞋子,马基德·马基迪,默罕默德·阿米尔·纳吉,1997 , 剧情 儿童 家庭
飞越疯人院,米洛斯·福尔曼,杰克·尼科尔森,1975 , 剧情
哈利·波特与死亡圣器(下),大卫·叶茨,丹尼尔·雷德克里夫,2011 , 奇幻 冒险
沉默的羔羊,乔纳森·戴米,朱迪·福斯特,1991 , 剧情 犯罪 惊悚
布达佩斯大饭店,韦斯·安德森,拉尔夫·费因斯,2014 , 剧情 喜剧 冒险
禁闭岛,Martin,Leonardo,2010 , 剧情 悬疑 惊悚
蝴蝶效应,埃里克·布雷斯,J·麦基·格鲁伯,2004 , 剧情 悬疑 科幻 惊悚
致命魔术,克里斯托弗·诺兰,休·杰克曼,2006 , 剧情 悬疑 惊悚
功夫,周星驰,周星驰,2004 , 动作 喜剧 犯罪 奇幻
心灵捕手,格斯·范·桑特,主演:,1997 , 剧情
海豚湾,路易·西霍尤斯,路易·西霍尤斯,2009 , 纪录片
哈利·波特与阿兹卡班的囚徒,Alfonso,Daniel,2004 , 奇幻 冒险
低俗小说,昆汀·塔伦蒂诺,约翰·特拉沃尔塔,1994 , 剧情 喜剧 犯罪
春光乍泄,王家卫,主演:,1997 , 剧情 爱情 同性
美国往事,赛尔乔·莱翁内,罗伯特·德尼罗,1984 , 犯罪 剧情
超脱,托尼·凯耶,艾德里安·布洛迪,2011 , 剧情
